Comment,Designator,Footprint,LCSC
USB4105-GF-A,J6,Imported Footprints:GCT_USB4105-GF-A,
ESP32-WROOM-32,U1,RF_Module:ESP32-WROOM-32E,
LED_1,J1,Connector_JST:JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,
50,R6,Resistor_SMD:R_0805_2012Metric,
LED_2,J2,Connector_JST:JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,
4k7,R3,Resistor_SMD:R_0805_2012Metric,
10uF,C1,Capacitor_SMD:C_0805_2012Metric,
FT231XS,U5,Package_SO:SSOP-20_3.9x8.7mm_P0.635mm,
CHASSIS_CAN,J5,Connector_JST:JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,
5k1,"R4,R5",Resistor_SMD:R_0805_2012Metric,
10k,"R1,R2,R7,R8,R9",Resistor_SMD:R_0805_2012Metric,
LED_4,J4,Connector_JST:JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,
1uF,C3,Capacitor_SMD:C_0805_2012Metric,
100nF,C4,Capacitor_SMD:C_0805_2012Metric,
Screw_Terminal_01x02,J7,TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal,
SN65HVD230,U2,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,
0.1uF,C2,Capacitor_SMD:C_0805_2012Metric,
LED_3,J3,Connector_JST:JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,
BOOT_OPTION,SW1,Button_Switch_SMD:SW_SPST_B3U-1100P,
Q_NPN_BEC,"Q1,Q2",Package_TO_SOT_SMD:SOT-23,
MCP1700x-330xxMB,U4,Package_TO_SOT_SMD:SOT-89-3,
