Designator,Mid X,Mid Y,Layer,Rotation
C1,130.72,-91.58,T,270.00
C2,128.00,-91.58,T,270.00
C3,129.25,-88.25,T,0.00
C4,167.25,-102.75,T,0.00
J1,125.50,-118.00,T,0.00
J2,137.45,-118.00,T,0.00
J3,149.40,-118.00,T,0.00
J4,161.35,-118.00,T,0.00
J5,165.81,-111.00,T,90.00
J6,172.50,-91.00,T,90.00
J7,122.87,-108.79,T,90.00
Q1,145.94,-97.46,B,0.00
Q2,145.94,-102.41,B,0.00
R1,129.25,-86.25,T,0.00
R2,170.50,-103.04,T,90.00
R3,170.50,-99.34,T,90.00
R4,162.75,-90.70,T,0.00
R5,162.75,-87.75,T,180.00
R6,136.00,-111.00,T,90.00
R7,147.00,-114.00,T,180.00
R8,150.00,-96.41,B,0.00
R9,150.00,-99.91,B,270.00
SW1,148.00,-108.00,T,180.00
U1,144.25,-91.25,T,0.00
U2,154.50,-111.00,T,0.00
U4,128.50,-98.75,T,90.00
U5,159.40,-98.61,T,0.00
